"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Array feature","Navigating Applications of Array page","0","0","1","0","0"
"","Validating Login page","User on login page and login with empty username and valid password","0","0","1","0","0"
"","Testing LinkedList page","The user is able to run code in Editor for Graph page","0","0","7","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Binary Trees Page","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to a page having an tryEditor from Operations in Stack page","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is presented with error message for invalid code in Editor for Graph page","0","0","3","0","0"
"","Validating Register page","The user is presented with error message for empty fields below confirm Password textbox","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Overview of Trees page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is presented with error message for invalid code in Editor for Graph page","0","0","13","0","0"
"","Testing LinkedList page","User navigated to ""linked list"" page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Arrays"" on home page without sign in","0","0","1","0","0"
"","Array feature","The user is presented with error message for code with invalid syntax in tryEditor for Search the array link","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is able to navigate to Graph Graph page","0","0","1","0","0"
"","Testing LinkedList page","user navigated to ""Implementation linked list in python"" page","0","0","1","0","0"
"","Validating Login page","User on login page and login with valid username and empty password","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to run code in Editor for Graph page","0","0","3","0","0"
"","Testing LinkedList page","User navigated to ""creating linked list"" page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Tree Traversals Page","0","0","1","0","0"
"","Queue feature","Navigating to Queue page","0","0","1","0","0"
"","DataStructures-Introduction feature","The user is able to click and navigate to Practice Questions","0","0","1","0","0"
"","Queue feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Implementation of BST"" Page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in","0","0","1","0","0"
"","Testing LinkedList page","The user is presented with error message for invalid code in Editor for Graph page","0","0","7","0","0"
"","User launch dsalgo application and test Home page","User launch home page of an dsalgo project","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Queue"" on home page without sign in","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to run code in Editor for Graph page","0","0","13","0","0"
"","Array feature","The user is able to submit code in tryEditor for Search the array link","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for empty fields below Username textbox","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on Register","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Types of Trees page","0","0","1","0","0"
"","Queue feature","Navigating Queue Operations page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Stack"" on home page without sign in","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Applications of Binary trees Page","0","0","1","0","0"
"","DataStructures-Introduction feature","Navigating to DataStructures-Introduction page","0","0","1","0","0"
"","Queue feature","Navigating Implementation using array page","0","0","1","0","0"
"","Testing LinkedList page","user navigated to ""Deletion"" page","0","0","1","0","0"
"","Validating Register page","The user redirected to Homepage with valid details","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Stack"" without sign in","0","0","1","0","0"
"","Queue feature","Navigating Implementation using collections.deque page","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is presented with error message for invalid code in Editor for Graph page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Implementation in Python Page","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for password mismatch","1","0","0","0","0"
"","Testing LinkedList page","user navigated to ""Traversal"" page","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click on dropdown ""Arrays"" without sign in","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to ""Operations in Stack"" page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to tryEditor page with Run button from Implement Linked List in Python page","0","0","1","0","0"
"","Array feature","The user is able to run code in tryEditor for Max Consecutive Ones","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to ""Practice Questions"" in stack Page","0","0","1","0","0"
"","Array feature","The user is able to navigate to Question page from Search the array link","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Overview of Trees"" page","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user should be redirected to tryeditor page with run button to test python code","0","0","2","0","0"
"","Testing LinkedList page","The user is logged in to DS Algo portal","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to ""Binary trees"" Page","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is able to run code in Editor for Graph Representations page","0","0","1","0","0"
"","Array feature","The user is able to navigate to Question page from Squares of a Sorted Array","0","0","1","0","0"
"","User launch dsalgo application and test Home page","User is on Home page and click getstarted link ""Tree"" on home page without sign in","0","0","1","0","0"
"","Array feature","The user is able to run code in tryEditor for Search the array link","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is able to navigate to Graph home page","0","0","1","0","0"
"","Validating Login page","User on login page and login with valid username and invalid password","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Binary Tree Traversals page","0","0","1","0","0"
"","Testing LinkedList page","User navigated to ""Types of linked list"" page","0","0","1","0","0"
"","Array feature","The user is able to run code in Editor for Graph page","0","0","4","0","0"
"","Validating Register page","The user is presented with error message for empty fields below Password textbox","0","0","1","0","0"
"","Array feature","The user is presented with error message for invalid code in tryEditor for Max Consecutive Ones","0","0","1","0","0"
"","DataStructures-Introduction feature","The user is presented with error message for invalid code in Editor for Graph page","0","0","1","0","0"
"","Array feature","Navigating Arrays in Python page","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is able to navigate to graph page and click on Graph Representations link","0","0","1","0","0"
"","Array feature","Navigating to Array page","0","0","1","0","0"
"","Array feature","The user is presented with error message for invalid code in Editor for Graph page","0","0","4","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page","0","0","1","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to Implementation page having an tryEditor","0","0","1","0","0"
"","Testing LinkedList page","user navigated to ""Insertion"" page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to Applications of Binary Trees Page","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to Terminologies page having an tryEditor","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for existing username","0","0","1","0","0"
"","Array feature","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits","0","0","1","0","0"
"","Array feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Graph: Luanch the DS-Algo portal and test Graph module","The user is logged in to DS Algo portal","0","0","1","0","0"
"","Queue feature","The user is presented with error message for invalid code in Editor for Graph page","0","0","4","0","0"
"","Stack: Luanch the DS-Algo portal and test Stack module","The user is able to navigate to ""Applications"" in stack Page","0","0","1","0","0"
"","Validating Register page","The user is presented with error message for password with characters less than eight","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Implementation of Binary Trees Page","0","0","1","0","0"
"","Validating Login page","User on login page and login with valid username and  valid password","0","0","1","0","0"
"","User tests the Tree page on the Ds algo application","The user is able to navigate to a page having an tryEditor from Binary Search Trees Page","0","0","1","0","0"
"","DataStructures-Introduction feature","The user is logged in to DS Algo portal","0","0","1","0","0"
"","DataStructures-Introduction feature","Navigating DataStructures-Introduction page","0","0","1","0","0"
