"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 16:44:18 EST 2023","Thu Dec 28 16:44:19 EST 2023","900","","Array feature","","Navigating Applications of Array page","","Navigating Applications of Array page",""
"passed","Thu Dec 28 16:43:50 EST 2023","Thu Dec 28 16:43:51 EST 2023","741","","Validating Login page","","User on login page and login with empty username and valid password","","User on login page and login with empty username and valid password",""
"passed","Thu Dec 28 16:45:16 EST 2023","Thu Dec 28 16:45:16 EST 2023","662","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:57 EST 2023","Thu Dec 28 16:45:57 EST 2023","366","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Binary Trees Page",""
"passed","Thu Dec 28 16:45:27 EST 2023","Thu Dec 28 16:45:28 EST 2023","340","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to a page having an tryEditor from Operations in Stack page","","The user is able to navigate to a page having an tryEditor from Operations in Stack page",""
"passed","Thu Dec 28 16:45:28 EST 2023","Thu Dec 28 16:45:29 EST 2023","788","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:43:40 EST 2023","Thu Dec 28 16:43:41 EST 2023","894","","Validating Register page","","The user is presented with error message for empty fields below confirm Password textbox","","The user is presented with error message for empty fields below confirm Password textbox",""
"passed","Thu Dec 28 16:45:13 EST 2023","Thu Dec 28 16:45:13 EST 2023","837","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:47 EST 2023","Thu Dec 28 16:45:47 EST 2023","333","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Overview of Trees page","","The user is able to navigate to a page having an tryEditor from Overview of Trees page",""
"passed","Thu Dec 28 16:45:48 EST 2023","Thu Dec 28 16:45:48 EST 2023","503","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:08 EST 2023","Thu Dec 28 16:45:08 EST 2023","31","","Testing LinkedList page","","User navigated to ""linked list"" page","","User navigated to ""linked list"" page",""
"passed","Thu Dec 28 16:42:50 EST 2023","Thu Dec 28 16:42:53 EST 2023","3487","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Arrays"" on home page without sign in","","User is on Home page and click getstarted link ""Arrays"" on home page without sign in",""
"passed","Thu Dec 28 16:44:26 EST 2023","Thu Dec 28 16:44:27 EST 2023","1056","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Search the array link","","The user is presented with error message for code with invalid syntax in tryEditor for Search the array link",""
"passed","Thu Dec 28 16:46:14 EST 2023","Thu Dec 28 16:46:16 EST 2023","1379","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to Graph Graph page","","The user is able to navigate to Graph Graph page",""
"passed","Thu Dec 28 16:45:17 EST 2023","Thu Dec 28 16:45:17 EST 2023","497","","Testing LinkedList page","","user navigated to ""Implementation linked list in python"" page","","user navigated to ""Implementation linked list in python"" page",""
"passed","Thu Dec 28 16:43:51 EST 2023","Thu Dec 28 16:43:51 EST 2023","328","","Validating Login page","","User on login page and login with valid username and empty password","","User on login page and login with valid username and empty password",""
"passed","Thu Dec 28 16:45:30 EST 2023","Thu Dec 28 16:45:31 EST 2023","793","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:11 EST 2023","Thu Dec 28 16:45:12 EST 2023","828","","Testing LinkedList page","","User navigated to ""creating linked list"" page","","User navigated to ""creating linked list"" page",""
"passed","Thu Dec 28 16:45:53 EST 2023","Thu Dec 28 16:45:53 EST 2023","340","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Tree Traversals Page","","The user is able to navigate to a page having an tryEditor from Tree Traversals Page",""
"passed","Thu Dec 28 16:45:35 EST 2023","Thu Dec 28 16:45:36 EST 2023","351","","Queue feature","","Navigating to Queue page","","Navigating to Queue page",""
"passed","Thu Dec 28 16:44:03 EST 2023","Thu Dec 28 16:44:05 EST 2023","1640","","DataStructures-Introduction feature","","The user is able to click and navigate to Practice Questions","","The user is able to click and navigate to Practice Questions",""
"passed","Thu Dec 28 16:45:34 EST 2023","Thu Dec 28 16:45:35 EST 2023","936","","Queue feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Thu Dec 28 16:46:11 EST 2023","Thu Dec 28 16:46:11 EST 2023","438","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Implementation of BST"" Page","","The user is able to navigate to ""Implementation of BST"" Page",""
"passed","Thu Dec 28 16:42:46 EST 2023","Thu Dec 28 16:42:49 EST 2023","3474","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in","","User is on Home page and click getstarted link ""Datastructures"" on home page without sign in",""
"passed","Thu Dec 28 16:45:21 EST 2023","Thu Dec 28 16:45:21 EST 2023","529","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:42:38 EST 2023","Thu Dec 28 16:42:45 EST 2023","7045","","User launch dsalgo application and test Home page","","User launch home page of an dsalgo project","","User launch home page of an dsalgo project",""
"passed","Thu Dec 28 16:43:00 EST 2023","Thu Dec 28 16:43:04 EST 2023","3470","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Queue"" on home page without sign in","","User is on Home page and click getstarted link ""Queue"" on home page without sign in",""
"passed","Thu Dec 28 16:45:57 EST 2023","Thu Dec 28 16:45:58 EST 2023","595","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:44:24 EST 2023","Thu Dec 28 16:44:26 EST 2023","2426","","Array feature","","The user is able to submit code in tryEditor for Search the array link","","The user is able to submit code in tryEditor for Search the array link",""
"passed","Thu Dec 28 16:43:39 EST 2023","Thu Dec 28 16:43:40 EST 2023","954","","Validating Register page","","The user is presented with error message for empty fields below Username textbox","","The user is presented with error message for empty fields below Username textbox",""
"passed","Thu Dec 28 16:43:32 EST 2023","Thu Dec 28 16:43:32 EST 2023","276","","User launch dsalgo application and test Home page","","User is on Home page and click on Register","","User is on Home page and click on Register",""
"passed","Thu Dec 28 16:45:10 EST 2023","Thu Dec 28 16:45:11 EST 2023","714","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:51 EST 2023","Thu Dec 28 16:45:51 EST 2023","321","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Types of Trees page","","The user is able to navigate to a page having an tryEditor from Types of Trees page",""
"passed","Thu Dec 28 16:45:42 EST 2023","Thu Dec 28 16:45:43 EST 2023","810","","Queue feature","","Navigating Queue Operations page","","Navigating Queue Operations page",""
"passed","Thu Dec 28 16:42:57 EST 2023","Thu Dec 28 16:43:00 EST 2023","3427","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Stack"" on home page without sign in","","User is on Home page and click getstarted link ""Stack"" on home page without sign in",""
"passed","Thu Dec 28 16:45:28 EST 2023","Thu Dec 28 16:45:28 EST 2023","645","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:07 EST 2023","Thu Dec 28 16:46:07 EST 2023","310","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Applications of Binary trees Page","","The user is able to navigate to a page having an tryEditor from Applications of Binary trees Page",""
"passed","Thu Dec 28 16:45:53 EST 2023","Thu Dec 28 16:45:54 EST 2023","687","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:43:55 EST 2023","Thu Dec 28 16:43:55 EST 2023","362","","DataStructures-Introduction feature","","Navigating to DataStructures-Introduction page","","Navigating to DataStructures-Introduction page",""
"passed","Thu Dec 28 16:45:25 EST 2023","Thu Dec 28 16:45:25 EST 2023","489","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:46:11 EST 2023","Thu Dec 28 16:46:12 EST 2023","669","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:16 EST 2023","Thu Dec 28 16:45:17 EST 2023","748","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Thu Dec 28 16:45:40 EST 2023","Thu Dec 28 16:45:41 EST 2023","773","","Queue feature","","Navigating Implementation using array page","","Navigating Implementation using array page",""
"passed","Thu Dec 28 16:45:23 EST 2023","Thu Dec 28 16:45:24 EST 2023","413","","Testing LinkedList page","","user navigated to ""Deletion"" page","","user navigated to ""Deletion"" page",""
"passed","Thu Dec 28 16:43:48 EST 2023","Thu Dec 28 16:43:49 EST 2023","1482","","Validating Register page","","The user redirected to Homepage with valid details","","The user redirected to Homepage with valid details",""
